Delegation,n,代表团
Anhui,111,安徽
Beijing,54,北京
Chongqing,60,重庆
Fujian,69,福建
Gansu,52,甘肃
Guangdong,163,广东
Guangxi,89,广西
Guizhou,73,贵州
Hainan,25,海南
Hebei,123,河北
Heilongjiang,92,黑龙江
Henan,172,河南
Hong Kong,36,香港
Hubei,117,湖北
Hunan,117,湖南
Inner Mongolia,58,内蒙古
Jiangsu,148,江苏
Jiangxi,80,江西
Jilin,61,吉林
Liaoning,100,辽宁
Macao,12,澳门
Ningxia,21,宁夏
Qinghai,20,青海
Shaanxi,66,陕西
Shandong,173,山东
Shanghai,57,上海
Shanxi,70,山西
Sichuan,147,四川
Taiwan,13,台湾
The Chinese People's Liberation Army and Armed Police Force,294,中国人民解放军武警部队
Tianjin,41,天津
Tibet,19,西藏
Xinjiang,58,新疆
Yunnan,90,云南
Zhejiang,94,浙江
